"Variable_Name","Variable_Description"
"Project","Project"
"Replication","Replication"
"Lab","Lab"
"T_N","treatment group number of participants"
"C_N","control group number of participants"
"T_M","treatment group mean"
"SE_T_M","standard error of the treatment group mean"
"C_M","control group mean"
"SE_C_M","standard error of the control group mean"
"T_SD","treatment group standard deviation"
"SE_T_SD","standard error of the treatment group standard deviation"
"C_SD","control group standard deviation"
"SE_C_SD","standard error of the control group standard deviation"
"MD","mean difference"
"SE_MD","standard error of the mean difference"
"pooled_SD","pooled standard deviation"
"SE_pooled_SD","standard error of the pooled standard deviation"
"SMD","standardized mean difference"
"SE_SMD","standard error of the standardized mean difference"
