Variable_Name,Variable_Description
MultiLab,MultiLab
ReplicationProject,ReplicationProject
Result__K,Result number of replications
Result__N,Result number of participants
Est__MD,Est mean difference
Est__SMD,Est standardized mean difference
Est__MD_K,Est mean difference_number of replications
Est__SMD_K,Est standardized mean difference_number of replications
Tau2__MD,Tau2 for mean difference
Tau2__SMD,Tau2 for standardized mean difference
Tau__MD,Tau for mean difference
Tau__SMD,Tau for standardized mean difference
CoeffVar__MD,Coefficient of Variation (tau/model est) for_mean difference
CoeffVar__SMD,Coefficient of Variation (tau/model est) for_standardized mean difference
I2__MD,I2 for mean difference
I2__SMD,I2 for standardized mean difference
H2__MD,H2 for mean difference
H2__SMD,H2 for standardized mean difference
QE__MD,QE for mean difference
QE__SMD,QE for standardized mean difference
QEp__MD,QEp for mean difference
QEp__SMD,QEp for standardized mean difference
