"","Variable_Name","Variable_Description"
"1","MultiLab","The multi-lab in which the meta-analytical-study-collection (MASC) was publicised (e.g., ML2)"
"2","MASC","The name of the meta-analytical-study-collection (MASC) (or replicated target-effect)"
"3","Data_Collection_Site","The data collection site (e.g., lab name) that a data point is associated with"
"4","T_N","treatment group number of participants"
"5","C_N","control group number of participants"
"6","T_M","treatment group mean"
"7","SE_T_M","standard error of the treatment group mean"
"8","C_M","control group mean"
"9","SE_C_M","standard error of the control group mean"
"10","T_SD","treatment group standard deviation"
"11","SE_T_SD","standard error of the treatment group standard deviation"
"12","C_SD","control group standard deviation"
"13","SE_C_SD","standard error of the control group standard deviation"
"14","MD","mean difference"
"15","SE_MD","standard error of the mean difference"
"16","pooled_SD","pooled standard deviation"
"17","SE_pooled_SD","standard error of the pooled standard deviation"
"18","SMD","standardized mean difference"
"19","SE_SMD","standard error of the standardized mean difference"
